=== 20220712 20:31 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
20:51 | 0220712/f_107 |  256 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (108 / 288)	 Replicas: 1024000
01:04 | 0220712/f_108 |  256 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (109 / 288)	 Replicas: 256000
02:29 | 0220712/f_109 |  256 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (110 / 288)	 Replicas: 32000
02:51 | 0220712/f_110 |  256 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (111 / 288)	 Replicas: 64000
03:14 | 0220712/f_111 |  256 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Squared | Disabled | (112 / 288)	 Replicas: 64000
03:30 | 0220712/f_112 |  256 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (113 / 288)	 Replicas: 16000
03:36 | 0220712/f_113 |  256 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (114 / 288)	 Replicas: 256000
06:23 | 0220712/f_114 |  256 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (115 / 288)	 Replicas: 64000
06:45 | 0220712/f_115 |  256 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Squared | Disabled | (116 / 288)	 Replicas: 128000
07:17 | 0220712/f_116 |  256 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (117 / 288)	 Replicas: 32000
07:27 | 0220712/f_117 |  256 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (118 / 288)	 Replicas: 8000
07:32 | 0220712/f_118 |  256 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (119 / 288)	 Replicas: 512000
10:13 | 0220712/f_119 |  256 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Squared | Disabled | (120 / 288)	 Replicas: 8000
10:15 | 0220712/f_120 |  256 |         0.05 |   1.2 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (121 / 288)	 Replicas: 64000
10:36 | 0220712/f_121 |  256 |         0.05 |   1.2 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (122 / 288)	 Replicas: 16000
10:47 | 0220712/f_122 |  256 |         0.05 |   1.2 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (123 / 288)	 Replicas: 128000
11:31 | 0220712/f_123 |  256 |         0.05 |   1.2 |    1000 |     0.001 | Disabled   | Squared | Disabled | (124 / 288)	 Replicas: 512000
13:44 | 0220712/f_124 |  256 |          0.1 |   1.2 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (125 / 288)	 Replicas: 32000
13:54 | 0220712/f_125 |  256 |          0.1 |   1.2 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (126 / 288)	 Replicas: 128000
15:17 | 0220712/f_126 |  256 |          0.1 |   1.2 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (127 / 288)	 Replicas: 4000
15:19 | 0220712/f_127 |  256 |          0.1 |   1.2 |    1000 |     0.001 | Disabled   | Squared | Disabled | (128 / 288)	 Replicas: 64000
15:35 | 0220712/f_128 |  256 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (129 / 288)	 Replicas: 64000
15:54 | 0220712/f_129 |  256 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (130 / 288)	 Replicas: 1024000
