=== 20220321 06:47 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
22:54 | 0220321/f_159 |  512 |          0.6 |   1.6 |     512 |     0.001 | Disabled   | Squared | Both | (160 / 176)	 Chunks: 5
23:01 | 0220321/f_160 |  512 |          0.7 |   1.6 |     512 |     0.001 | Disabled   | Dimers | Both | (161 / 176)	 Chunks: 4
23:08 | 0220321/f_161 |  512 |          0.7 |   1.6 |     512 |     0.001 | Disabled   | Linear trimers | Both | (162 / 176)	 Chunks: 14
23:30 | 0220321/f_162 |  512 |          0.7 |   1.6 |     512 |     0.001 | Disabled   | Trimers | Both | (163 / 176)	 Chunks: 9
23:46 | 0220321/f_163 |  512 |          0.7 |   1.6 |     512 |     0.001 | Disabled   | Squared | Both | (164 / 176)	 Chunks: 12
00:05 | 0220321/f_164 |  512 |          0.8 |   1.6 |     512 |     0.001 | Disabled   | Dimers | Both | (165 / 176)	 Chunks: 6
00:14 | 0220321/f_165 |  512 |          0.8 |   1.6 |     512 |     0.001 | Disabled   | Linear trimers | Both | (166 / 176)	 Chunks: 4
00:20 | 0220321/f_166 |  512 |          0.8 |   1.6 |     512 |     0.001 | Disabled   | Trimers | Both | (167 / 176)	 Chunks: 4
00:27 | 0220321/f_167 |  512 |          0.8 |   1.6 |     512 |     0.001 | Disabled   | Squared | Both | (168 / 176)	 Chunks: 6
00:36 | 0220321/f_168 |  512 |          0.9 |   1.6 |     512 |     0.001 | Disabled   | Dimers | Both | (169 / 176)	 Chunks: 10
00:52 | 0220321/f_169 |  512 |          0.9 |   1.6 |     512 |     0.001 | Disabled   | Linear trimers | Both | (170 / 176)	 Chunks: 7
01:02 | 0220321/f_170 |  512 |          0.9 |   1.6 |     512 |     0.001 | Disabled   | Trimers | Both | (171 / 176)	 Chunks: 19
01:34 | 0220321/f_171 |  512 |          0.9 |   1.6 |     512 |     0.001 | Disabled   | Squared | Both | (172 / 176)	 Chunks: 20
02:04 | 0220321/f_172 |  512 |            1 |   1.6 |     512 |     0.001 | Disabled   | Dimers | Both | (173 / 176)	 Chunks: 2
02:07 | 0220321/f_173 |  512 |            1 |   1.6 |     512 |     0.001 | Disabled   | Linear trimers | Both | (174 / 176)	 Chunks: 2
02:10 | 0220321/f_174 |  512 |            1 |   1.6 |     512 |     0.001 | Disabled   | Trimers | Both | (175 / 176)	 Chunks: 2
02:13 | 0220321/f_175 |  512 |            1 |   1.6 |     512 |     0.001 | Disabled   | Squared | Both | (176 / 176)	 Chunks: 2
