=== 20220911 14:52 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
19:17 | 0220911/f_112 |  256 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (113 / 288)	 Replicas: 8000
19:19 | 0220911/f_113 |  256 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (114 / 288)	 Replicas: 4000
19:21 | 0220911/f_114 |  256 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (115 / 288)	 Replicas: 16000
19:26 | 0220911/f_115 |  256 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Squared | Disabled | (116 / 288)	 Replicas: 1024000
22:36 | 0220911/f_116 |  256 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (117 / 288)	 Replicas: 256000
23:38 | 0220911/f_117 |  256 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (118 / 288)	 Replicas: 128000
00:43 | 0220911/f_118 |  256 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (119 / 288)	 Replicas: 1024000
04:53 | 0220911/f_119 |  256 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Squared | Disabled | (120 / 288)	 Replicas: 1024000
07:55 | 0220911/f_120 |  256 |         0.05 |   1.2 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (121 / 288)	 Replicas: 64000
08:11 | 0220911/f_121 |  256 |         0.05 |   1.2 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (122 / 288)	 Replicas: 4000
08:14 | 0220911/f_122 |  256 |         0.05 |   1.2 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (123 / 288)	 Replicas: 1024000
12:58 | 0220911/f_123 |  256 |         0.05 |   1.2 |    1000 |     0.001 | Disabled   | Squared | Disabled | (124 / 288)	 Replicas: 256000
13:45 | 0220911/f_124 |  256 |          0.1 |   1.2 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (125 / 288)	 Replicas: 64000
14:00 | 0220911/f_125 |  256 |          0.1 |   1.2 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (126 / 288)	 Replicas: 512000
18:32 | 0220911/f_126 |  256 |          0.1 |   1.2 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (127 / 288)	 Replicas: 4000
18:33 | 0220911/f_127 |  256 |          0.1 |   1.2 |    1000 |     0.001 | Disabled   | Squared | Disabled | (128 / 288)	 Replicas: 8000
18:35 | 0220911/f_128 |  256 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (129 / 288)	 Replicas: 128000
19:03 | 0220911/f_129 |  256 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (130 / 288)	 Replicas: 128000
20:04 | 0220911/f_130 |  256 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (131 / 288)	 Replicas: 8000
20:06 | 0220911/f_131 |  256 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Squared | Disabled | (132 / 288)	 Replicas: 4000
