=== 20220205 18:37 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_REPLIES | CORR_RANGE | POLYMERS | PERCOLATION
22:22 |  20220207_183 |  512 |         0.05 |   1.6 |      1024 | Disabled   | Squared | Both | 
22:25 |  20220207_184 |  512 |          0.1 |   1.6 |      1024 | Disabled   | Dimers | Both | 
22:29 |  20220207_185 |  512 |          0.1 |   1.6 |      1024 | Disabled   | Trimers | Both | 
22:33 |  20220207_186 |  512 |          0.1 |   1.6 |      1024 | Disabled   | Linear trimers | Both | 
22:37 |  20220207_187 |  512 |          0.1 |   1.6 |      1024 | Disabled   | Squared | Both | 
22:40 |  20220207_188 |  512 |          0.2 |   1.6 |      1024 | Disabled   | Dimers | Both | 
22:44 |  20220207_189 |  512 |          0.2 |   1.6 |      1024 | Disabled   | Trimers | Both | 
22:48 |  20220207_190 |  512 |          0.2 |   1.6 |      1024 | Disabled   | Linear trimers | Both | 
22:52 |  20220207_191 |  512 |          0.2 |   1.6 |      1024 | Disabled   | Squared | Both | 
22:55 |  20220207_192 | 1024 |         0.05 |   0.4 |      1024 | Disabled   | Dimers | Both | 
23:09 |  20220207_193 | 1024 |         0.05 |   0.4 |      1024 | Disabled   | Trimers | Both | 
23:29 |  20220207_194 | 1024 |         0.05 |   0.4 |      1024 | Disabled   | Linear trimers | Both | 
23:43 |  20220207_195 | 1024 |         0.05 |   0.4 |      1024 | Disabled   | Squared | Both | 
23:56 |  20220207_196 | 1024 |          0.1 |   0.4 |      1024 | Disabled   | Dimers | Both | 
00:10 |    20220208_0 | 1024 |          0.1 |   0.4 |      1024 | Disabled   | Trimers | Both | 
00:29 |    20220208_1 | 1024 |          0.1 |   0.4 |      1024 | Disabled   | Linear trimers | Both | 
00:44 |    20220208_2 | 1024 |          0.1 |   0.4 |      1024 | Disabled   | Squared | Both | 
00:57 |    20220208_3 | 1024 |          0.2 |   0.4 |      1024 | Disabled   | Dimers | Both | 
01:11 |    20220208_4 | 1024 |          0.2 |   0.4 |      1024 | Disabled   | Trimers | Both | 
01:29 |    20220208_5 | 1024 |          0.2 |   0.4 |      1024 | Disabled   | Linear trimers | Both | 
01:43 |    20220208_6 | 1024 |          0.2 |   0.4 |      1024 | Disabled   | Squared | Both | 
01:56 |    20220208_7 | 1024 |         0.05 |   0.8 |      1024 | Disabled   | Dimers | Both | 
02:10 |    20220208_8 | 1024 |         0.05 |   0.8 |      1024 | Disabled   | Trimers | Both | 
02:29 |    20220208_9 | 1024 |         0.05 |   0.8 |      1024 | Disabled   | Linear trimers | Both | 
02:43 |   20220208_10 | 1024 |         0.05 |   0.8 |      1024 | Disabled   | Squared | Both | 
02:56 |   20220208_11 | 1024 |          0.1 |   0.8 |      1024 | Disabled   | Dimers | Both | === 20220208 18:06 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_REPLIES | CORR_RANGE | POLYMERS | PERCOLATION
18:06 |   20220208_43 | 2048 |         0.05 |   0.4 |      1024 | Disabled   | Dimers | Both | 
19:09 |   20220208_44 | 2048 |         0.05 |   0.4 |      1024 | Disabled   | Trimers | Both | 
20:40 |   20220208_45 | 2048 |         0.05 |   0.4 |      1024 | Disabled   | Linear trimers | Both | 
21:44 |   20220208_46 | 2048 |         0.05 |   0.4 |      1024 | Disabled   | Squared | Both | 
22:41 |   20220208_47 | 2048 |          0.1 |   0.4 |      1024 | Disabled   | Dimers | Both | 
23:45 |   20220208_48 | 2048 |          0.1 |   0.4 |      1024 | Disabled   | Trimers | Both | 
01:13 |    20220209_0 | 2048 |          0.1 |   0.4 |      1024 | Disabled   | Linear trimers | Both | 
02:15 |    20220209_1 | 2048 |          0.1 |   0.4 |      1024 | Disabled   | Squared | Both | 
03:11 |    20220209_2 | 2048 |          0.2 |   0.4 |      1024 | Disabled   | Dimers | Both | 
04:14 |    20220209_3 | 2048 |          0.2 |   0.4 |      1024 | Disabled   | Trimers | Both | 
05:39 |    20220209_4 | 2048 |          0.2 |   0.4 |      1024 | Disabled   | Linear trimers | Both | 
06:41 |    20220209_5 | 2048 |          0.2 |   0.4 |      1024 | Disabled   | Squared | Both | 
07:38 |    20220209_6 | 2048 |         0.05 |   0.8 |      1024 | Disabled   | Dimers | Both | 
08:41 |    20220209_7 | 2048 |         0.05 |   0.8 |      1024 | Disabled   | Trimers | Both | 
10:09 |    20220209_8 | 2048 |         0.05 |   0.8 |      1024 | Disabled   | Linear trimers | Both | 
11:11 |    20220209_9 | 2048 |         0.05 |   0.8 |      1024 | Disabled   | Squared | Both | 
12:06 |   20220209_10 | 2048 |          0.1 |   0.8 |      1024 | Disabled   | Dimers | Both | 
13:08 |   20220209_11 | 2048 |          0.1 |   0.8 |      1024 | Disabled   | Trimers | Both | 
14:35 |   20220209_12 | 2048 |          0.1 |   0.8 |      1024 | Disabled   | Linear trimers | Both | 
15:38 |   20220209_13 | 2048 |          0.1 |   0.8 |      1024 | Disabled   | Squared | Both | 
16:33 |   20220209_14 | 2048 |          0.2 |   0.8 |      1024 | Disabled   | Dimers | Both | 
17:34 |   20220209_15 | 2048 |          0.2 |   0.8 |      1024 | Disabled   | Trimers | Both | 
18:58 |   20220209_16 | 2048 |          0.2 |   0.8 |      1024 | Disabled   | Linear trimers | Both | 
19:58 |   20220209_17 | 2048 |          0.2 |   0.8 |      1024 | Disabled   | Squared | Both | 
20:53 |   20220209_18 | 2048 |         0.05 |   1.2 |      1024 | Disabled   | Dimers | Both | 
21:56 |   20220209_19 | 2048 |         0.05 |   1.2 |      1024 | Disabled   | Trimers | Both | 
23:23 |   20220209_20 | 2048 |         0.05 |   1.2 |      1024 | Disabled   | Linear trimers | Both | 
00:26 |    20220210_0 | 2048 |         0.05 |   1.2 |      1024 | Disabled   | Squared | Both | 
01:21 |    20220210_1 | 2048 |          0.1 |   1.2 |      1024 | Disabled   | Dimers | Both | 
02:22 |    20220210_2 | 2048 |          0.1 |   1.2 |      1024 | Disabled   | Trimers | Both | 
03:49 |    20220210_3 | 2048 |          0.1 |   1.2 |      1024 | Disabled   | Linear trimers | Both | 
04:51 |    20220210_4 | 2048 |          0.1 |   1.2 |      1024 | Disabled   | Squared | Both | 
05:46 |    20220210_5 | 2048 |          0.2 |   1.2 |      1024 | Disabled   | Dimers | Both | 
06:47 |    20220210_6 | 2048 |          0.2 |   1.2 |      1024 | Disabled   | Trimers | Both | 
08:11 |    20220210_7 | 2048 |          0.2 |   1.2 |      1024 | Disabled   | Linear trimers | Both | 
09:12 |    20220210_8 | 2048 |          0.2 |   1.2 |      1024 | Disabled   | Squared | Both | 
10:07 |    20220210_9 | 2048 |         0.05 |   1.6 |      1024 | Disabled   | Dimers | Both | 
11:10 |   20220210_10 | 2048 |         0.05 |   1.6 |      1024 | Disabled   | Trimers | Both | 
12:40 |   20220210_11 | 2048 |         0.05 |   1.6 |      1024 | Disabled   | Linear trimers | Both | 
13:43 |   20220210_12 | 2048 |         0.05 |   1.6 |      1024 | Disabled   | Squared | Both | 
14:39 |   20220210_13 | 2048 |          0.1 |   1.6 |      1024 | Disabled   | Dimers | Both | === 20220211 06:40 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_REPLIES | CORR_RANGE | POLYMERS | PERCOLATION
