=== 20221024 20:43 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
11:15 | 0221024/f_239 |  128 |          0.2 |   1.6 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (96 / 288)	 Replicas: 1024000
12:07 | 0221024/f_241 |  256 |         0.05 |   0.4 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (97 / 288)	 Replicas: 1024000
18:17 | 0221024/f_244 |  256 |         0.05 |   0.4 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (98 / 288)	 Replicas: 1024000
11:11 | 0221024/f_245 |  256 |         0.05 |   0.4 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (99 / 288)	 Replicas: 1024000
17:35 | 0221024/f_246 |  256 |         0.05 |   0.4 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (100 / 288)	 Replicas: 1024000
21:36 | 0221024/f_247 |  256 |          0.1 |   0.4 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (101 / 288)	 Replicas: 1024000
03:21 | 0221024/f_248 |  256 |          0.1 |   0.4 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (102 / 288)	 Replicas: 64000
04:16 | 0221024/f_249 |  256 |          0.1 |   0.4 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (103 / 288)	 Replicas: 1024000
10:26 | 0221024/f_250 |  256 |          0.1 |   0.4 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (104 / 288)	 Replicas: 1024000
14:14 | 0221024/f_251 |  256 |          0.2 |   0.4 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (105 / 288)	 Replicas: 1024000
19:26 | 0221024/f_252 |  256 |          0.2 |   0.4 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (106 / 288)	 Replicas: 256000
22:49 | 0221024/f_253 |  256 |          0.2 |   0.4 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (107 / 288)	 Replicas: 1024000
04:21 | 0221024/f_254 |  256 |          0.2 |   0.4 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (108 / 288)	 Replicas: 128000
04:47 | 0221024/f_255 |  256 |         0.05 |   0.8 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (109 / 288)	 Replicas: 1024000
10:36 | 0221024/f_256 |  256 |         0.05 |   0.8 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (110 / 288)	 Replicas: 512000
18:29 | 0221024/f_259 |  256 |         0.05 |   0.8 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (111 / 288)	 Replicas: 1024000
01:39 | 0221024/f_263 |  256 |         0.05 |   0.8 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (112 / 288)	 Replicas: 1024000
06:01 | 0221024/f_264 |  256 |          0.1 |   0.8 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (113 / 288)	 Replicas: 256000
07:25 | 0221024/f_265 |  256 |          0.1 |   0.8 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (114 / 288)	 Replicas: 1024000
